STOCK (MR) COMPTABILISÉ MÉGA CENTRE (9062-6268 QUEBEC INC.) GL: 24004,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!
STOCK (MR) COMPTABILISÉ MÉGA CENTRE (9062-6268 QUEBEC INC.) GL: 24004,,,,,,,,,,,,,,,,,,,,,,,,,,
🔍 Résumé,,Valeur,AFFICHÉ ONLINE,PRÉPARATION BODY,PREP MÉCANIQUE,PREP STUCTUREL,,,,,,,,,,,,,,,,,,,,
TOTAL DES VÉHICULES ACHETÉS,,95,,,,,,,,,,,,,,,,,,,,,,,,
VÉHICULE VENDU/LIVRÉ,,58,,,,,,,,,,,,,,,,,,,,,,,,
EN INVENTAIRE,,37,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STOCK,MODÈLE,ANNÉE,6 DERNIERS NIV, COÛTANT, PAD,ACHETE DE... ,DATE,VENDU,LIVRÉ,FACTURE,,ONGLETS,,FACTURE MÉCANIQUE,,FACTURE BODY,,FACTURE AUTRE,,AUTRES FRAIS,, TOTAL COST, VENTE,PROFIL/ PERTE,DATE J/M/A,
,,,,,,,ACHAT,,,LIEN,TOTAL,FACTURE,MONTANT,NO FACTURE,MONTANT,NO FACTURE, MONTANT,NO FACTURE, MONTANT,FACTURES AUTRES, MONTANT,,,,VENTE,
MR065,lexus rc 350,2020,5010234,"  15 000,00 $ ","  100,00 $ ",ACHAT PORTE,14 aout 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,  -   $ ,"  15 100,00 $ ","  17 000,00 $ ","  1 900,00 $ ",14 aout 2025,
MR066,mazda 3 ,2008,413456,"  1 000,00 $ ","  100,00 $ ",MAZDA TROIS-RIVIÈRES,,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,e du pneu 293890 ,"  486,00 $ ",marketplace,"  150,00 $ ","  1 736,00 $ ","  5 695,00 $ ","  3 959,00 $ ",,
MR067,volks jetta,2013,286972,"  5 000,00 $ ","  100,00 $ ",AUTRE ACHAT EXTERNE,,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,," ,","  5 100,00 $ ","  9 995,00 $ ","  4 895,00 $ ",,
MR068,venue,2020,030506,"  4 800,00 $ ","  100,00 $ ",NISSAN TROIS-RIVIÈRES,,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  4 900,00 $ ","  9 995,00 $ ","  5 095,00 $ ",,
MR069,mazda 3 sport,2010,157208,"  1 500,00 $ ","  100,00 $ ",KIA TROIS-RIVIÈRES,,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  1 600,00 $ ","  5 995,00 $ ","  4 395,00 $ ",,
MR070,mini  countryman s,2014,p35990,"  7 000,00 $ ","  100,00 $ ",KIA TROIS-RIVIÈRES,,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  7 100,00 $ ","  10 495,00 $ ","  3 395,00 $ ",4 09-2025,
MR071,elantra,2013,207630,"  2 000,00 $ ","  100,00 $ ",AUTRE ACHAT EXTERNE,,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  2 100,00 $ ","  6 995,00 $ ","  4 895,00 $ ",,
MR072,JOURNEY,2016,168051,"  2 000,00 $ ","  100,00 $ ",KIA TROIS-RIVIÈRES,CANCELLER,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  2 100,00 $ ","  2 100,00 $ ",  -   $ ,5 septembre 2025,
MR073,JETTA,2014,275974,"  3 800,00 $ ",  -   $ ,KIA TROIS-RIVIÈRES,05sept.,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  3 800,00 $ ","  7 495,00 $ ","  3 695,00 $ ",,
MR074,FIAT 500,2012,111287,"  1 000,00 $ ",  -   $ ,KIA TROIS-RIVIÈRES,,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  1 000,00 $ ","  3 695,00 $ ","  2 695,00 $ ",,
MR075,COLORADO,2015,205012,"  6 000,00 $ ",  -   $ ,VOLVO TROIS-RIVIÈRES,8 sept.,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  6 000,00 $ ","  10 995,00 $ ","  4 995,00 $ ",17 septembre 2025,
MR076,EOS,2008,053139,"  3 500,00 $ ",  -   $ ,NISSAN TROIS-RIVIÈRES,9sept.,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  3 500,00 $ ","  6 995,00 $ ","  3 495,00 $ ",,
MR077,PASSAT,2016,022459,"  8 500,00 $ ",  -   $ ,VOLVO TROIS-RIVIÈRES,9sept.,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  8 500,00 $ ","  13 895,00 $ ","  5 395,00 $ ",,
MR078,MALIBU,2011,332617,"  500,00 $ ",  -   $ ,ECHANGE,10sept.,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  500,00 $ ","  400,00 $ ","- 100,00 $ ",27 septembre 2025,
MR079,EQUINOX,2005,107544,"  300,00 $ ",  -   $ ,ECHANGE,29 AOUT,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  300,00 $ ","  400,00 $ ","  100,00 $ ",27 septembre 2025,
MR080,QASHQAI,2018,287939,"  18 000,00 $ ","  100,00 $ ",AUTRE ACHAT EXTERNE,16-09-2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  18 100,00 $ ",,20995,3 octobre 2025,
MR081,RVR,2015,605746,"  5 000,00 $ ",  -   $ ,NISSAN TROIS-RIVIÈRES,16-09-2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  5 000,00 $ ",,9995,,
MR082,ESCAPE,2013,C74250,"  4 500,00 $ ","  100,00 $ ",ECHANGE,17-09-2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  4 600,00 $ ",,8295,,
MR083,MATRIX,2009,183426,"  3 000,00 $ ","  100,00 $ ",ECHANGE,17-09-2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  3 100,00 $ ",,4495,,
MR084,BMW I28,2009,J76196,"  6 000,00 $ ",  -   $ ,HYUNDAI TROIS-RIVIÈRES,19-09-2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  6 000,00 $ ",,9995,28 septembre 2025,
MR085,VOLVO,2018,349616,"  20 500,00 $ ",  -   $ ,HYUNDAI TROIS-RIVIÈRES,19-09-2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  20 500,00 $ ",,25995,,
MR086,JETTA,2011,376763,"  1 000,00 $ ",  -   $ ,ECHANGE,22-09-2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  1 000,00 $ ","  400,00 $ ",-600,31-09-2025,
MR087,GOLF,2019,505195,"  6 500,00 $ ","  100,00 $ ",MAZDA TROIS-RIVIÈRES,22-09-2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  6 600,00 $ ",,10995,,
MR088,elantra,2012,065114,"  800,00 $ ",  -   $ ,MAZDA TROIS-RIVIÈRES,24-09-2025,TRUE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  800,00 $ ",,800,,
MR089,FIAT 500L,2014,013140,"  4 000,00 $ ","  100,00 $ ",ACHAT PORTE,30-09-2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  4 100,00 $ ",,5995,,
MR090,FORD F150,2012,D62710,"  11 500,00 $ ","  100,00 $ ",MAZDA TROIS-RIVIÈRES,01-10-2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  11 600,00 $ ",,15495,6 octobre 2025,
MR091,CHEV EQUINOX LT,2022,268959,"  13 100,00 $ ","  100,00 $ ",AUTRE ACHAT EXTERNE,02-10-2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  13 200,00 $ ",,17995,,
MR092,CRV,2009,806284,"  1 000,00 $ ","  55,00 $ ",ACHAT PORTE,,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  700,00 $ ","  500,00 $ ",-200,3 octobre 2025,
MR093,COOPER,2010,U78596,"  3 400,00 $ ","  100,00 $ ",NISSAN TROIS-RIVIÈRES,,TRUE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  3 500,00 $ ",,6995,,
MR094,chevrolet aveo ,2010,103750,"  1 000,00 $ ","  100,00 $ ",NISSAN SHAWINIGAN,6-10-2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  1 100,00 $ ",,3495,,
MR095,SORENTO,2016,068524,"  8 500,00 $ ","  100,00 $ ",NISSAN TROIS-RIVIÈRES,07-10-2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  8 600,00 $ ",,"- 8 600,00 $ ",,
MR096,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR097,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR098,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR099,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR100,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR101,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR102,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR103,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR104,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR105,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR106,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR107,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR108,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR109,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR110,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR111,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR112,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR113,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR114,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR115,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR116,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR117,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR118,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR119,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR120,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR121,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR122,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR123,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR124,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR125,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR126,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR127,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR128,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR129,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR130,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR131,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR132,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR133,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR134,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR135,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR136,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR137,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR138,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR139,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR140,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR141,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR142,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR143,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR144,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR145,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR146,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR147,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR148,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR149,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
MR150,,,,,"  100,00 $ ",VIDE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"  100,00 $ ",,"- 100,00 $ ",,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5XYRGDLC5MG005789,,,,,,,,,,,,,,,
