STOCK (MR) COMPTABILISÉ MÉGA CENTRE (9062-6268 QUEBEC INC.) GL: 24004,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!
STOCK (MR) COMPTABILISÉ MÉGA CENTRE (9062-6268 QUEBEC INC.) GL: 24004,,,,,,,,,,,,,,,,,,,,,,,,,,
🔍 Résumé,,Valeur,AFFICHÉ ONLINE,PRÉPARATION BODY,PREP MÉCANIQUE,PREP STUCTUREL,,,,,,,,,,,,,,,,,,,,
TOTAL DES VÉHICULES ACHETÉS,,95,,,,,,,,,,,,,,,,,,,,,,,,
VÉHICULE VENDU/LIVRÉ,,58,,,,,,,,,,,,,,,,,,,,,,,,
EN INVENTAIRE,,37,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STOCK,MODÈLE,ANNÉE,6 DERNIERS NIV, COÛTANT, PAD,ACHETE DE... ,DATE,VENDU,LIVRÉ,FACTURE,,ONGLETS,,FACTURE MÉCANIQUE,,FACTURE BODY,,FACTURE AUTRE,,AUTRES FRAIS,, TOTAL COST, VENTE,PROFIL/ PERTE,DATE J/M/A,
,,,,,,,ACHAT,,,LIEN,TOTAL,FACTURE,MONTANT,NO FACTURE,MONTANT,NO FACTURE, MONTANT,NO FACTURE, MONTANT,FACTURES AUTRES, MONTANT,,,,VENTE,
MR013,CADILLAC,2013,119637,"  6 000,00 $ ",  -   $ ,HYUNDAI TROIS-RIVIÈRES,23 mai 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,4712,"  795,25 $ ",103668,"  800,00 $ ",,,,,"  7 595,25 $ ","  11 500,00 $ ","  3 904,75 $ ",5 JULY2025,
MR014,ALLURE,2009,118410,"  1 600,00 $ ",  -   $ ,MAZDA TROIS-RIVIÈRES,23 mai 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,chez raf 4886,"  1 537,97 $ ",,,2710,"  605,00 $ ",entrepot du pneu,"  586,00 $ ","  4 328,97 $ ","  5 995,00 $ ","  1 666,03 $ ",,
MR015,ESCAPE,2009,C37443,"  500,00 $ ",  -   $ ,MAZDA TROIS-RIVIÈRES,29 mai 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  500,00 $ ","  400,00 $ ","- 100,00 $ ",27 septembre 2025,
MR016,LANCER,2010,602306,"  3 500,00 $ ",  -   $ ,MAZDA TROIS-RIVIÈRES,29 mai 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,point s 7125,"  820,10 $ ",ft,"  245,40 $ ",g g alter 7804,"  220,00 $ ",g yves david 50435,"  153,00 $ ","  4 938,50 $ ","  6 250,00 $ ","  1 311,50 $ ",10july2025,
MR017,COROLLA,1999,747668,"  500,00 $ ",  -   $ ,MAZDA TROIS-RIVIÈRES,29 mai 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  500,00 $ ","  600,00 $ ","  100,00 $ ",11 juin 2025,
MR018,ELANTRA,2011,039742,"  500,00 $ ",  -   $ ,MAZDA TROIS-RIVIÈRES,29 mai 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  500,00 $ ","  600,00 $ ","  100,00 $ ",11 juin 2025,
MR019,RONDO,2014,040448,"  2 000,00 $ ",  -   $ ,KIA TROIS-RIVIÈRES,2 juin 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,chez raf 4851," 283,,80",,,ft39680,"  249,34 $ ",,,"  2 249,34 $ ","  5 995,00 $ ","  3 745,66 $ ",,
MR020,LEGACY,2013,007396,"  4 000,00 $ ",  -   $ ,KIA TROIS-RIVIÈRES,2 juin 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,4728,"  342,75 $ ",103658,"  480,00 $ ",20251252,"  115,00 $ ",,,"  4 937,75 $ ","  7 995,00 $ ","  3 057,25 $ ",13juin2025,
MR021,MALIBU,2011,364135,"  1 750,00 $ ",  -   $ ,MAZDA TROIS-RIVIÈRES,3 juin 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,019604,"  494,73 $ ",,,,,,,"  2 244,73 $ ","  5 995,00 $ ","  3 750,27 $ ",,
MR022,SORENTO,2014,500136,"  2 000,00 $ ",  -   $ ,KIA TROIS-RIVIÈRES,3 juin 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,4740,"  1 224,66 $ ",103675 103696,"  1 400,00 $ ",ft26185 -5986,"  363,13 $ ",entrepot du pneu 29299,"  446,00 $ ","  5 433,79 $ ","  7 995,00 $ ","  2 561,21 $ ",18july2025,
MR023,PATHFINDER,2014,693826,"  4 000,00 $ ",  -   $ ,AUTRE ACHAT EXTERNE,5 juin 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,4773,"  1 863,53 $ ",103680,"  1 500,00 $ ",ft39828,"  321,66 $ ",,,"  7 685,19 $ ","  10 995,00 $ ","  3 309,81 $ ",,
MR024,ELANTRA,2017,158179,"  2 500,00 $ ",  -   $ ,NISSAN CHOMEDEY,5 juin 2025,TRUE,FALSE,FALSE,FALSE,#ERROR!,,chez raf 4869,"  1 800,92 $ ",,"  1 500,00 $ ",ft39755,"  114,42 $ ",,,"  5 915,34 $ ","  7 995,00 $ ","  2 079,66 $ ",,
MR025,SOUL,2010,112054,"  1 200,00 $ ",  -   $ ,NISSAN TROIS-RIVIÈRES,6 juin 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,4761,"  410,63 $ ",ft39829,"  35,40 $ ",53987,"  790,00 $ ",kia trois rivieres,"  804,72 $ ","  3 240,75 $ ","  6 995,00 $ ","  3 754,25 $ ",18 juin 2025,
MR026,GOLF,2015,514151,"  5 000,00 $ ",  -   $ ,MAZDA TROIS-RIVIÈRES,6 juin 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,logisteck  6838,"  100,00 $ ", st-bo 182666  ,"  400,00 $ ",POINT S HYUN,"  443,58 $ ",entrepot du pneu 292363,"  396,00 $ ","  6 339,58 $ ","  9 995,00 $ ","  3 655,42 $ ",28 JULY2025,
MR027,SPORTAGE,2007,340476,"  1 000,00 $ ",  -   $ ,KIA TROIS-RIVIÈRES,11 juin 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,FT 40085,"  405,53 $ ",LOG TECK 6967,"  1 389,00 $ ",PNEU 292853,"  446,00 $ ",marketplace," 300,00,","  3 240,53 $ ","  4 995,00 $ ","  1 754,47 $ ",4AUGUST2025,
MR028,ACCORD,2014,801228,"  5 000,00 $ ",  -   $ ,MAZDA TROIS-RIVIÈRES,11 juin 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,point s 7167,"  789,29 $ ",103671,"  279,00 $ ",,,,,"  6 068,29 $ ","  9 568,00 $ ","  3 499,71 $ ",27 juin 2025,
MR029,128I,2009,J76063,"  6 000,00 $ ",  -   $ ,KIA TROIS-RIVIÈRES,17 juin 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,26887,"  1 543,79 $ ",182654,"  350,00 $ ",,,,,"  7 893,79 $ ","  10 995,00 $ ","  3 101,21 $ ",27 juin 2025,
MR030,CX7,2010,352016,"  600,00 $ ",  -   $ ,MAZDA TROIS-RIVIÈRES,17 juin 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,point s 7224 7293,"  593,50 $ ",,,ft39986,"  253,50 $ ",chez raf 4838,"  369,50 $ ","  1 816,50 $ ","  3 595,00 $ ","  1 778,50 $ ",25 july 2025,
MR031,SENTRA,2013,741979,"  3 000,00 $ ",  -   $ ,VOLVO TROIS-RIVIÈRES,19 juin 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,chez raf 4779,"  641,38 $ ",r trans 2261,"  2 800,00 $ ",M P ET MC CA ,"  150,00 $ ",entrepot du pneu 29766,"  658,00 $ ","  7 627,27 $ ","  6 995,00 $ ","- 632,27 $ ",21 aout 2025,
MR032,MAZDA 3,2011,387272,"  2 000,00 $ ",  -   $ ,MAZDA TROIS-RIVIÈRES,20 juin 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,chez raf 4794,"  423,74 $ ",,,5985,"  350,00 $ ",,,"  2 773,74 $ ","  6 958,10 $ ","  4 184,36 $ ",8 juillet 2025,
MR033,TRAX,2015,182072,"  5 000,00 $ ","  100,00 $ ",NISSAN TROIS-RIVIÈRES,18 juin 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,chez raf 4818,"  1 312,42 $ ",,,,,,,"  6 412,42 $ ","  8 995,00 $ ","  2 582,58 $ ",29 aout 2025,
MR034,JETTA,2011,108891,"  1 300,00 $ ","  100,00 $ ",MAZDA TROIS-RIVIÈRES,2 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,mecan st-bo 019698,"  263,43 $ ",chrs esth 103729,"  800,00 $ ",retoucheurs 26195,"  275,00 $ ",,,"  2 738,43 $ ","  6 250,00 $ ","  3 511,57 $ ",23 aout 2025,
MR035,PATHFINDER,2014,632721,"  1 500,00 $ ","  100,00 $ ",MAZDA TROIS-RIVIÈRES,2 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  1 600,00 $ ","  5 995,00 $ ","  4 395,00 $ ",3 octobre 2025,
